Region, District No, District, School No, NCES School Number, School, Email, Title, Status, School Type, Address, Address2, Address3, Address4, City, State, Zipcode, Zip+4, Phone1, Phone2, Fax, Grade Levels, Categories
FIRST TENNESSEE CORE REGIONAL OFFICE,900,WASHINGTON COUNTY,5,4.70E+11,Washington County Adult High School,grayj3@wcde.org,Principal: Jamie Gray,A,Public,2002 Indian  Ridge RD,,,,Johnson City,TN,37601,,(423) 434-4900,,,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,900,WASHINGTON COUNTY,37,4.70E+11,Daniel Boone High School,campbellt@wcde.org,Principal: Tim Campbell,A,Public,1440  Suncrest  DR,,,,Gray,TN,37615,,(423) 477-1600,,(423) 477-1625,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,900,WASHINGTON COUNTY,38,4.70E+11,David Crockett High School,wrightp@wcde.org,Principal: Peggy Wright,A,Public,684  Old  State Route 34 ,,,,Jonesborough,TN,37659,,(423) 753-1150,,(423) 753-1167,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,900,WASHINGTON COUNTY,45,4.70E+11,Fall Branch Elementary,wernkej@wcde.org,Principal: Dr. Jim Wernke,A,Public,1061 Highway  93 ,,,,Fall Branch,TN,37659,,(423) 348-1200,,(423) 348-1207,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,900,WASHINGTON COUNTY,55,4.70E+11,Gray Elementary School,lawsona@wcde.org,Principal: Amy Lawson,A,Public,755 Gray Station RD,,,,Gray,TN,37615,,(423) 477-1640,,(423) 477-1644,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,900,WASHINGTON COUNTY,60,4.70E+11,Jonesborough Elementary,combsm@wcde.org,Principal: Matthew Combs,A,Public,306  Forest  DR,,,,Jonesborough,TN,37659,,(423) 753-1180,,(423) 753-1181,"PK,K,1,2,3,4",
FIRST TENNESSEE CORE REGIONAL OFFICE,900,WASHINGTON COUNTY,65,4.70E+11,Jonesborough Middle School,Mckeeb2@wcde.org,Principal: Brandon McKee,A,Public,308  Forest  DR,,,,Jonesborough,TN,37659,,(423) 753-1190,,(423) 753-1570,"5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,900,WASHINGTON COUNTY,75,4.70E+11,Lamar Elementary,merrimanm@wcde.org,Principal: Mark Merriman,A,Public,3261  Highway  81 South ,,,,Jonesborough,TN,37659,,(423) 753-1130,,(423) 753-1134,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,900,WASHINGTON COUNTY,90,4.70E+11,South Central Elementary,mckinneyj@wcde.org,Principal: J.W. McKinney,A,Public,2955  Highway  107 ,,,,Chuckey,TN,37641,,(423) 753-1135,,(423) 753-1135,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,900,WASHINGTON COUNTY,95,4.70E+11,Sulphur Springs Elementary,littled@wcde.org,Principal: Dr. David Little,A,Public,1518 Gray Station/sulphur Springs RD,,,,Jonesborough,TN,37659,,(423) 753-1140,,(423) 753-1146,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,900,WASHINGTON COUNTY,105,4.70E+11,University School,partinb@wcde.org,Principal: Dr. Brian K. Partin,A,Public,1 Alexendra DR,,,,Johnson City,TN,37614,,(423) 439-4333,,(423) 439-5921,"K,1,2,3,4,5,6,7,8,9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,900,WASHINGTON COUNTY,110,4.70E+11,West View School,streeetr@wcde.org,Principal: Dr. Robin Street,A,Public,2847  Old  State Rt 34 ,,,,Limestone,TN,37681,,(423) 753-1175,,(423) 753-1583,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,35,4.70E+11,Liberty Bell Middle School,florah@jcschools.org,Principal: Dr. Holly Flora,A,Public,718 Morningside DR,,,,Johnson City,TN,37604,,(423) 232-2179,,,"6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,7,4.70E+11,Cherokee Elementary,hutsonr@jcschools.org,Principal: Richard Hutson,A,Public,2100  Cherokee  RD,,,,Johnson City,TN,37604,,(423) 434-5281,,(423) 434-5591,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,15,4.70E+11,Fairmont Elementary,MCGILLC@JCSCHOOLS.ORG,Principal: Carol McGill,A,Public,1405  Lester  Harris RD,,,,Johnson City,TN,37601,,(423) 434-5275,,(423) 434-5278,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,16,4.70E+11,Indian Trail Middle School,jacobsj@jcschools.org,Principal: James Jacobs,A,Public,307  Car  Mol DR,,,,Johnson City,TN,37601,,(423) 610-6000,,(423) 610-6010,"6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,18,4.70E+11,Lake Ridge Elementary,woodc@jcschools.org,Principal: Renee Wood,A,Public,1001 Lake Ridge Square ,,,,Johnson City,TN,37601,,(423) 610-6030,,(423) 610-6033,"K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,20,4.70E+11,Woodland Elementary,reachk@jcschools.org,Principal: Dr. Karen Reach,A,Public,2303 Indian Ridge RD,,,,Johnson City,TN,37604,,(423) 434-5267,,(423) 434-5298,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,37,4.70E+11,Mountain View Elementary,stukesm@jcschools.org,Principal: Melissa Stukes,A,Public,907  King  Springs RD,,,,Johnson City,TN,37601,,(423) 434-5260,,(423) 434-5596,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,40,4.70E+11,North Side Elementary,frizzella@jcschools.org,Principal: Dr. Allecia Frizzell,A,Public,1000  N  Roan ST,,,,Johnson City,TN,37601,,(423) 434-5249,,(423) 434-5295,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,45,4.70E+11,Science Hill High School,carterj@jcschools.org,Principal: Josh Carter,A,Public,1509 John Exum PKWY,,,,Johnson City,TN,37604,,(423) 232-2190,,(423) 926-1622,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,55,4.70E+11,South Side Elementary,jonesk1@jcschools.org,Principal: Kelley Jones,A,Public,1011 Southwest AVE,,,,Johnson City,TN,37604,,(423) 434-5290,,(423) 434-5291,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,65,4.70E+11,Towne Acres Elementary,simmonst@jcschools.org,Principal: Dr. Josh Simmons,A,Public,2310  Larkspur  DR,,,,Johnson City,TN,37604,,(423) 854-4800,,(423) 854-4810,"K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,822,KINGSPORT,28,4.70E+11,John F. Kennedy Elementary School,jirvin@k12k.com,Principal: Dr. Janice Irvin,A,Public,1500 Woodland AVE,,,,Kingsport,TN,37660,,(423) 857-2700,,(423) 378-2340,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,822,KINGSPORT,30,4.70E+11,Abraham Lincoln Elementary School,szahner@k12k.com,Principal: Suzanne Zahner,A,Public,1000 Summer ST,,,,Kingsport,TN,37664,,(423) 378-2360,,(423) 378-2375,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,822,KINGSPORT,37,4.70E+11,Palmer Early Learning Center,adoran@k12k.com,Principal: Dr. Amy Doran,A,Public,1609  Ft  Henry DR,,,,Kingsport,TN,37664,,(423) 378-2160,,,PK,
FIRST TENNESSEE CORE REGIONAL OFFICE,822,KINGSPORT,40,4.70E+11,Ross N. Robinson Middle School,cgardenhour@k12k.com,Principal: Dr. Corey Gardenhour,A,Public,1517  Jessee  ST,,,,Kingsport,TN,37664,,(423) 378-2200,,(423) 378-2430,"6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,822,KINGSPORT,45,4.70E+11,John Sevier Middle School,kseymour@k12k.com,Principal: Dr. Kelli Seymour,A,Public,1200  Wateree  ST,,,,Kingsport,TN,37660,,(423) 378-2450,,(423) 378-2430,"6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,822,KINGSPORT,50,4.70E+11,George Washington Elementary School,hwolf@k12k.com,Principal: Heather Wolf,A,Public,1100  Bellingham  DR,,,,Kingsport,TN,37660,,(423) 378-2480,,(423) 378-2470,"K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,822,KINGSPORT,55,4.70E+11,Theodore Roosevelt Elementary School,pwright@k12k.com,Principal: Dr. Philip Wright,A,Public,1051  Lake  ST,,,,Kingsport,TN,37660,,(423) 857-2600,,(423) 378-2395,"K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,27,4.70E+11,Cosby High School,murrells@cocke.k12.tn.us,Principal: Shawna Murrell,A,Public,3318 Cosby HWY,,,,Cosby,TN,37722,,(423) 487-5602,,(423) 487-5502,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,370,HAWKINS COUNTY,78,4.70E+11,Joseph Rogers Primary School,leigh.morley@hck12.net,Principal: Dr. Leigh Morley,A,Public,2001 East Main ST,,,,Rogersville,TN,37857,,(423) 272-9110,,(423) 272-7211,"PK,K,1,2",
FIRST TENNESSEE CORE REGIONAL OFFICE,370,HAWKINS COUNTY,10,4.70E+11,Bulls Gap School,sharon.southern@hck12.net,Principal: Sharon Southern,A,Public,315  Allen  DR,,,,Bulls Gap,TN,37711,,(423) 235-5201,,(423) 235-7687,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,5,4.70E+11,Baileyton Elementary,randy.richards@gcstn.org,Principal: Randy Richards,A,Public,6535  Horton  HWY,,,,Greeneville,TN,37745,,(423) 234-6411,,(423) 234-3100,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,10,4.70E+11,Camp Creek Elementary,dennis.wilds@gcstn.org,Principal: Dennis Wilds,A,Public,2941  Camp  Creek RD,,,,Greeneville,TN,37743,,(423) 798-2644,,(423) 798-0446,"P4,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,20,4.70E+11,Chuckey Elementary,Jennifer.Whitson@gcstn.org,Principal: Jennifer Whitson,A,Public,1605  Chuckey  HWY,,,,Chuckey,TN,37641,,(423) 257-2108,,(257) 257-3938,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,25,4.70E+11,Chuckey Doak Middle School,tammy.swinney@gcstn.org,Principal: Tammy Swinney,A,Public,120 Chuckey Doak RD,,,,Afton,TN,37616,,(423) 787-2038,,(423) 787-2096,"6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,35,4.70E+11,Doak Elementary,sunshine.broyles@gcstn.org,Principal: Sunshine Broyles,A,Public,70 West ST,,,,Greeneville,TN,37745,,(423) 638-3197,,(423) 638-5276,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,55,4.70E+11,McDonald Elementary,Chris.Sharp@gcstn.org,Principal: Dr. Chris Sharp,A,Public,8120  McDonald  RD,,,,Mohawk,TN,37810,,(423) 235-5406,,(423) 235-7778,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,60,4.70E+11,Mosheim Elementary,Sarah.Gray@gcstn.org,Principal: Sarah Gray,A,Public,297  West  School ST,,,,Mosheim,TN,37818,,(423) 422-4123,,(423) 422-7547,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,67,4.70E+11,Nolachuckey Elementary,Amy.Brooks@gcstn.org,Principal: Amy Brooks,A,Public,565 Nolachuckey RD,,,,Greeneville,TN,37743,,(423) 639-7731,,(423) 798-2659,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,70,4.70E+11,North Greene High School,amanda.weems@gcstn.org,Principal: Amanda Weems,A,Public,4675  Old  Baileyton RD,,,,Greeneville,TN,37745,,(423) 234-1752,,(423) 234-3103,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,80,4.70E+11,South Greene High School,Lori.Wilhoit@gcstn.org,Principal: Lori Wilhoit,A,Public,7469  Asheville  HWY,,,,Greeneville,TN,37743,,(423) 636-3790,,(423) 636-3791,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,95,4.70E+11,West Greene High School,Tim.Shelton@gcstn.org,Principal: Tim Shelton,A,Public,275  West  Greene DR,,,,Mosheim,TN,37818,,(423) 422-4061,,(423) 422-4430,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,5,4.70E+11,Central Elementary,terrymorley@carterk12.net,Principal: Terry Morley,A,Public,252 Taylor RD,,,,Johnson City,TN,37601,,(423) 547-4045,,(423) 547-4056,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,15,4.70E+11,Cloudland High School,amyhorney@carterk12.net,Principal: Dr. Amy Horney,A,Public,476  Cloudland  DR,,,,Roan Mountain,TN,37687,,(423) 772-5300,,(423) 772-5309,"7,8,9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,25,4.70E+11,Hampton Elementary,jakejenkins@carterk12.net,Principal: Dr. Jake Jenkins,A,Public,408  Hwy  321 ,,,,Hampton,TN,37658,,(423) 725-5220,,(423) 725-5221,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,30,4.70E+11,Hampton High School,jeffbradley@carterk12.net,Principal: Jeff Bradley,A,Public,766 1st ST,,,,Hampton,TN,37658,,(423) 725-5200,,(423) 725-5204,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,35,4.70E+11,Happy Valley Elementary,mandygreer@carterk12.net,Principal: Mandy Greer,A,Public,1840  Milligan  HWY,,,,Johnson City,TN,37601,,(423) 547-4028,,(423) 547-8323,"K,1,2,3,4",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,40,4.70E+11,Happy Valley High School,paulblair@carterk12.net,Principal: Dr. Paul Blair,A,Public,121  Warpath  LN,,,,Elizabethton,TN,37643,,(423) 547-4094,,(423) 547-4083,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,43,4.70E+11,Happy Valley Middle School,keithparker@carterk12.net,Principal: Keith Parker,A,Public,163  Warpath  LN,,,,Elizabethton,TN,37643,,(423) 547-4070,,(423) 547-8352,"5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,45,4.70E+11,Hunter Elementary,stephengarland@carterk12.net,Principal: Stephen Garland,A,Public,145  Hope  ST,,,,Elizabethton,TN,37643,,(423) 547-4074,,(423) 547-4075,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,50,4.70E+11,Keenburg Elementary,dougmitchell@carterk12.net,Principal: Doug Mitchell,A,Public,139  Keenburg  RD,,,,Elizabethton,TN,37643,,(423) 547-4047,,(423) 547-4048,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,52,4.70E+11,Siam Learning Center,aarondugger@carterk12.net,Principal: Aaron Dugger,A,Public,2543 Siam RD,,,,Elizabethton,TN,37643,,(423) 547-4050,,(423) 547-4061,"7,8,9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,55,4.70E+11,Little Milligan,jrcampbell@carterk12.net,Principal: Howard Campbell,A,Public,4226  Hwy  321 ,,,,Butler,TN,37640,,(423) 768-4400,,(423) 768-4403,"P4,P3,K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,85,4.70E+11,Unaka Elementary,lesliesimerly@carterk12.net,Principal: Dr. Leslie Simerly,A,Public,120  Unaka  DR,,,,Elizabethton,TN,37643,,(423) 474-4110,,(423) 474-4111,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,90,4.70E+11,Unaka High School,mikeensor@carterk12.net,Principal: Michael Ensor,A,Public,119  Robinson  LN,,,,Elizabethton,TN,37643,,(423) 474-4100,,(423) 474-4100,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,95,4.70E+11,Valley Forge Elementary,brandonyoung@carterk12.net,Principal: Brandon Young,A,Public,1485 Riverview DR,,,,Elizabethton,TN,37643,,(423) 547-4085,,(423) 547-4081,"K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,101,ELIZABETHTON,10,4.70E+11,East Side Elementary,Travis.hurley@ecschools.net,Principal: Travis Hurley,A,Public,800 Siam RD,,,,Elizabethton,TN,37643,,(423) 547-8010,,(423) 547-8038,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,101,ELIZABETHTON,15,4.70E+11,Elizabethton High School,jon.minton@ecschools.net,Principal: Jon Minton,A,Public,907 Jason Witten Way ,,,,Elizabethton,TN,37643,4207,(423) 547-8015,,(423) 547-8016,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,101,ELIZABETHTON,20,4.70E+11,Harold McCormick Elementary,eric.wampler@ecschools.net,Principal: James E Wampler,A,Public,226 Cedar AVE,,,,Elizabethton,TN,37643,,(423) 547-8020,,(423) 547-8120,"K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,101,ELIZABETHTON,25,4.70E+11,T A Dugger Junior High School,Chris.berry@ecschools.net,Principal: Chris Berry,A,Public,305 West  E ST,,,,Elizabethton,TN,37643,,(423) 547-8025,,(423) 547-8021,"6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,101,ELIZABETHTON,30,4.70E+11,West Side Elementary,john.wright@ecschools.net,Principal: John Wright,A,Public,1310  Burgie  ST,,,,Elizabethton,TN,37643,,(423) 547-8030,,(423) 547-8031,"K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,5,4.70E+11,Bridgeport Elementary,codya@cocke.k12.tn.us ,Principal: April Cody,A,Public,1935 Edwina Bridgeport RD,,,,Newport,TN,37821,,(423) 623-5780,,(423) 623-3440,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,10,4.70E+11,Centerview Elementary,atkinsg@cocke.k12.tn.us,Principal: Ginger Atkins,A,Public,2400  Hwy  160 ,,,,Newport,TN,37821,,(423) 623-4947,,(423) 623-2038,"P4,K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,12,4.70E+11,Cocke Co Adult High School,douglasb@cocke.k12.tn.us,Principal: Bryan Douglas,A,Public,241  Hedrick  DR,,,,Newport,TN,37821,,(423) 613-0032,,(423) 625-3421,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,15,4.70E+11,Cocke Co High School,burchetteg@cocke.k12.tn.us,Principal: Gail Burchette,A,Public,216  Hedrick  DR,,,,Newport,TN,37821,,(423) 623-8718,,(423) 623-1213,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,25,4.70E+11,Cosby Elementary,williamsw@cocke.k12.tn.us,Principal: Wade Williams,A,Public,3320 Cosby HWY,,,,Cosby,TN,37722,,(423) 487-3850,,(423) 487-2845,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,30,4.70E+11,Del Rio Elementary,ramseyk@cocke.k12.tn.us,Principal: Wanda Ramsey,A,Public,500  South  Highway 107 ,,,,Del Rio,TN,37727,,(423) 487-5570,,(423) 487-5411,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,35,4.70E+11,Edgemont Elementary,chambersn@cocke.k12.tn.us ,Principal: Nathan Chambers,A,Public,375  Carson  Springs RD,,,,Newport,TN,37821,,(423) 623-2288,,(423) 623-0345,"P4,K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,40,4.70E+11,Grassy Fork Elementary,clarkj@cocke.k12.tn.us,Principal: Jamie Clark,A,Public,4120  Big  Creek RD,,,,Hartford,TN,37753,,(423) 487-5835,,(423) 487-5387,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,52,4.70E+11,Northwest Elementary,groomss@cocke.k12.tn.us,Principal: Dr. Shannon Grooms,A,Public,344  Woodson  RD,,,,Newport,TN,37821,,(423) 623-4697,,(423) 623-3432,"K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,55,4.70E+11,Parrottsville Elementary,vickr@cocke.k12.tn.us,Principal: Dr. Robert Vick,A,Public,1901  Highway  321 ,,,,Parrottsville,TN,37843,,(423) 623-1612,,(423) 623-3332,"P4,K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,65,4.70E+11,Smoky Mountain Elementary,williamsj3@cocke.k12.tn.us,Principal: Jordon Williams,A,Public,135  South  32 HWY,,,,Cosby,TN,37722,,(423) 487-2255,,(423) 487-5382,"P4,K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,151,NEWPORT,5,4.70E+11,Newport Grammar School,michael.short@newportgrammar.org,Principal: Michael Short,A,Public,301  College  ST,,,,Newport,TN,37821,,(423) 623-3811,,(423) 623-4599,"PK,K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,340,HANCOCK COUNTY,20,4.70E+11,Hancock County Elementary,valerie.harrison@hcsk12.com,Principal: Valerie Harrison,A,Public,373 Newman's Ridge RD,,,,Sneedville,TN,37869,,(423) 733-2534,,(423) 733-9820,"K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,340,HANCOCK COUNTY,25,4.70E+11,Hancock High School,Angela.Kinsler@hcsk12.com,Principal: Angela Kinsler,A,Public,2700 Main ST,,,,Sneedville,TN,37869,,(423) 733-4611,,(423) 733-1427,"6,7,8,9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,460,JOHNSON COUNTY,5,4.70E+11,Doe Elementary,mhagaman@jocoed.net,Principal: Mark Hagaman,A,Public,7164  Highway  67 West ,,,,Mountain City,TN,37683,,(423) 727-2682,,(423) 727-2698,"PK,K,1,2,3,4,5,6",
FIRST TENNESSEE CORE REGIONAL OFFICE,460,JOHNSON COUNTY,15,4.70E+11,Johnson Co High School,lhenley@jocoed.net,Principal: Leon Henley,A,Public,290 Fairground Hill ,,,,Mountain City,TN,37683,,(423) 727-2620,,(423) 727-2677,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,460,JOHNSON COUNTY,16,4.70E+11,Johnson Co Middle School,tstansberry@jocoed.net,Principal: Teresa Stansberry,A,Public,278 Fairground Hill ,,,,Mountain City,TN,37683,,(423) 727-2600,,(423) 727-4141,"7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,460,JOHNSON COUNTY,20,4.70E+11,Laurel Elementary,beggers@jocoed.net,Principal: Dr. Brenda Eggers,A,Public,300 Gentry  Creek RD,,,,Laurel Bloomery,TN,37680,,(423) 727-2685,,(423) 427-5250,"K,1,2,3,4,5,6",
FIRST TENNESSEE CORE REGIONAL OFFICE,460,JOHNSON COUNTY,25,4.70E+11,Mountain City Elementary,gtriplett@jocoed.net,Principal: Gay Triplett,A,Public,301  Donnelly  ST,,,,Mountain City,TN,37683,,(423) 727-2621,,(423) 727-2631,"PK,K,1,2,3,4,5,6",
FIRST TENNESSEE CORE REGIONAL OFFICE,371,ROGERSVILLE,5,4.70E+11,Rogersville Elementary,hartsookd@rcschool.net,Principal: Mr. David Hartsook,A,Public,116  Broadway  ,,,,Rogersville,TN,37857,,(423) 272-7651,,(423) 272-7790,"P4,P3,K,1,2,3,4,5,6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,301,GREENEVILLE,8,4.70E+11,C Hal Henard Elementary,rickerj@gcschools.net,Principal: Janet Ricker,A,Public,425  E  Vann RD,,,,Greeneville,TN,37743,,(423) 638-3511,,(423) 638-2900,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,301,GREENEVILLE,15,4.70E+11,Eastview Elementary,fordk@gcschools.net,Principal: Kelly Ford,A,Public,454 East Bernard AVE,,,,Greeneville,TN,37745,,(423) 638-6351,,(423) 638-2651,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,301,GREENEVILLE,20,4.70E+11,Greeneville High School,mcdonaldm@gcschools.net,Principal: Mr. Martin McDonald,A,Public,210  Tusculum  BLVD,,,,Greeneville,TN,37745,,(423) 787-8030,,(423) 787-8028,"9,10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,301,GREENEVILLE,25,4.70E+11,Greeneville Middle School,adamsr2@gcschools.net,Principal: Rachel Adams,A,Public,433  E  Vann RD,,,,Greeneville,TN,37743,,(423) 639-7841,,(423) 639-4112,"6,7,8",
FIRST TENNESSEE CORE REGIONAL OFFICE,301,GREENEVILLE,30,4.70E+11,Highland Elementary,newlands@gcschools.net,Principal: Sheila Newland,A,Public,208 N  Highland ,,,,Greeneville,TN,37745,,(423) 638-3341,,(423) 638-1780,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,301,GREENEVILLE,35,4.70E+11,Tusculum View Elementary,luttrelll@gcschools.net,Principal: Dr. Lana Luttrel,A,Public,1725  Lafayette  ST,,,,Greeneville,TN,37745,,(423) 639-2751,,(423) 639-2198,"PK,K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,301,GREENEVILLE,1010,4.70E+11,Greene Technology Center,wellsr@gcschools.net,Principal: Mr. Randy Wells,A,Public,1121  Hal  Henard RD,,,,Greenville,TN,37743,,(423) 639-0171,,(423) 639-0176,"10,11,12",
FIRST TENNESSEE CORE REGIONAL OFFICE,320,HAMBLEN COUNTY,5,4.70E+11,Alpha Elementary,dykek@hcboe.net,Principal: Kim Dyke,A,Public,5620 Old Us  11e HWY,,,,Morristown,TN,37814,,(423) 586-3332,,(423) 585-3737,"K,1,2,3,4,5",
FIRST TENNESSEE CORE REGIONAL OFFICE,320,HAMBLEN COUNTY,10,4.70E+11,Fairview Marguerite,langhanse@hcboe.net,Principal: Eric Langhans,A,Public,2125  Fairview  RD,,,,Morristown,TN,37814,,(423) 586-4098,,(423) 585-3746,"K,1,2,3,4,5",
